NODE_ID,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sep_2019,Oct_2019,Nov_2019,Dec_2019,Jan_2020,Feb_2020,Mar_2020,Apr_2020,May_2020,Jun_2020,Jul_2020,Aug_2020,Sep_2020,Oct_2020,Nov_2020,Dec_2020,Jan_2021,Feb_2021,Mar_2021,Apr_2021,May_2021,Jun_2021,Jul_2021,Aug_2021,Sep_2021,Oct_2021,Nov_2021,Dec_2021,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022
FARREL_1_N002,,,,,,,,33.34168892,32.88464601,29.45739415,24.32908259,22.10525103,,,,,,,,,,,,,25.79179871,60.89362522,19.89987055,29.92220814,28.26535569,50.03583386,68.41640472,59.79898603,67.57347206,56.80318431,56.05214485,58.35693665,51.61811025,42.98167679,41.38719364,56.79458868,58.8325584,69.50667957,75.02073443,105.0919357,126.0505007,,,
FAYETTE_1_B1,,,,,,,,33.22024531,35.21410444,36.83027534,41.92423974,40.39292145,,,,,,,,,,,,,33.99064071,56.14923722,33.33882125,35.44757779,37.29216478,50.58786892,66.59227086,60.50904224,66.87955369,69.93259296,59.08609904,62.15278254,53.56839706,47.94878787,46.69207263,67.05637115,70.39738217,77.32645761,72.65166663,97.38468515,122.6860529,,,
FBERBORD_1_N001,,,,,,,,30.71955051,30.62130731,37.11410306,43.3891315,39.11634397,,,,,,,,,,,,,34.69388913,57.5033303,33.93543534,35.0434706,37.7920866,55.28075964,83.67785694,73.9622321,73.32723096,70.07019358,53.71917079,60.41250723,51.67740504,45.55826595,46.61781006,51.74426082,44.25913146,72.26323293,75.28061572,115.7806898,138.2668729,,,
FELICITA_6_N001,,,,,,,,35.00284549,38.31436183,33.97037774,43.93276214,45.21142586,,,,,,,,,,,,,33.91341569,68.53335939,31.76144797,33.72208896,24.37390079,51.47145221,70.267877,61.56755173,70.09793647,58.45887366,58.99666331,69.33974152,53.57318451,44.60513862,44.97578944,63.97258,66.68307756,71.68821259,75.72473979,107.4706018,129.562925,,,
FELICITA_6_N005,,,,,,,,35.00284549,38.31436183,33.97037774,43.93276214,45.21142586,,,,,,,,,,,,,33.91482082,68.53335939,31.76144797,33.72208896,24.37390079,51.47145221,70.267877,61.56755173,70.09793647,58.45887366,58.99666331,69.33974152,53.57318451,44.60601982,44.97578944,63.97258,66.68307756,71.68821259,75.72473979,107.4706018,129.562925,,,
FELICITA_6_N009,,,,,,,,35.00284549,38.31436183,33.97037774,43.93276214,45.21142586,,,,,,,,,,,,,33.91482082,68.53335939,31.76144797,33.72208896,24.37390079,51.47145221,70.267877,61.56755173,70.09793647,58.45887366,58.99666331,69.33974152,53.57318451,44.60601982,44.97578944,63.97258,66.68307756,71.68821259,75.72473979,107.4706018,129.562925,,,
FELLOWSG_7_N001,,,,,,,,32.05551588,33.99423336,34.55546696,41.66529065,39.62383323,,,,,,,,,,,,,32.37429801,59.80304213,31.84065911,30.18519906,27.1298552,47.33614282,65.06856481,57.14680008,62.99810038,55.10643216,54.98093318,59.77442644,50.60274258,42.1407604,41.27956754,56.45108552,57.43042683,67.35437895,70.525181,95.15113665,116.1323424,,,
FELLOWSG_7_N002,,,,,,,,32.05551588,33.99423336,34.55546696,41.66529065,39.62383323,,,,,,,,,,,,,32.37429801,59.80304213,31.84065911,30.18519906,27.1298552,47.33614282,65.06856481,57.14680008,62.99810038,55.10643216,54.98093318,59.77442644,50.60274258,42.1407604,41.27956754,56.45108552,57.43042683,67.35437895,70.525181,95.15113665,116.1323424,,,
FENTON_6_N001,,,,,,,,35.61134458,41.63528099,38.90445289,45.73601571,47.28024581,,,,,,,,,,,,,34.37525155,68.95438914,32.95749833,37.4125109,33.4662893,53.7687854,71.79034558,63.82562477,71.49439958,59.05476661,63.18744364,,,,,,,,,,,,,
FIGARDN_2_N001,,,,,,,,33.7018586,36.24326564,37.51130746,43.1736454,41.25756655,,,,,,,,,,,,,34.19639407,60.21802835,33.00310436,37.14539624,32.93952245,49.5480104,72.24566398,63.64984233,66.54866196,61.94210897,59.49632172,63.11098888,54.55561939,47.68818872,46.11621125,57.20012655,59.34466997,72.38520161,78.49455022,100.4658539,117.6831314,,,
FIGARDN_2_N101,,,,,,,,33.69654086,36.2278616,37.50606095,43.14525666,41.25756655,,,,,,,,,,,,,34.19807473,60.23816609,33.0022172,36.4240341,32.93690598,49.52331336,72.22744902,63.83336344,66.52809146,61.9614082,59.48562427,63.10199114,54.53971561,47.68213997,46.10753426,57.18572091,59.31764243,72.35321098,78.45754922,100.4440536,117.6460227,,,
FIREBAGH_6_N001,,,,,,,,33.14699451,38.12000547,36.69498352,42.90094262,41.50295048,,,,,,,,,,,,,33.76997366,61.28643469,32.78532241,32.01124304,32.83411535,50.3379785,69.96636118,60.72577281,60.92709558,56.26290961,62.15996789,61.56387093,47.32546443,36.86610238,37.56647721,44.76867855,53.67269886,77.76522149,79.42861135,103.7477128,131.5413502,,,
FLINT_1_N001,,,,,,,,32.77780145,35.3437484,37.32888806,42.0517346,40.28033866,,,,,,,,,,,,,34.86416641,63.08872738,34.23668323,37.42693371,37.89533238,53.35861407,70.21962098,62.19397421,68.59700156,70.78286089,59.00904001,61.64772125,53.41069118,49.79484771,47.84565685,67.30361799,71.2053755,75.22346184,75.63440082,102.0018423,131.6944496,,,
FLOWD3-6_7_N100,,,,,,,,33.19502404,35.23477532,36.99504235,41.99653569,40.43983836,,,,,,,,,,,,,34.02093461,60.51134652,33.44969468,36.08412407,37.8461894,50.89585488,67.31188841,60.24237306,67.19539371,68.92332558,59.17298817,62.29467714,53.69792415,48.21254609,47.37065272,67.16494398,72.35265651,79.2691621,73.77277217,98.39451178,123.7475613,,,
FLOWD3-6_7_N101,,,,,,,,33.19502404,35.23477532,36.99504235,41.99653569,40.43983836,,,,,,,,,,,,,34.02093461,60.51134652,33.44969468,36.08412407,37.8461894,50.89585488,67.31188841,60.24237306,67.19539371,68.92332558,59.17298817,62.29467714,53.69792415,48.21254609,47.37065272,67.16494398,72.35265651,79.2691621,73.77277217,98.39451178,123.7475613,,,
FLOWND1_1_N01,,,,,,,,33.78523254,35.79770467,37.4363143,42.41854788,40.89362419,,,,,,,,,,,,,34.49722231,60.76318624,33.95978144,36.48271597,39.13033012,51.71924678,68.05744992,61.13057241,68.9317444,69.47750977,60.13667006,63.29571349,54.59850079,49.48379158,48.97301591,64.77097447,73.36126103,80.57083813,74.95003915,99.37022793,125.3152617,,,
FMC_1_N001,,,,,,,,34.90004415,36.54048218,38.18215323,43.34407895,41.70836927,,,,,,,,,,,,,34.98986145,62.15532315,34.34882673,37.28886054,40.91986973,52.65813189,75.87788917,62.11418683,71.59891539,70.16028702,61.64088926,67.65297152,55.97017303,51.05731161,50.64108039,68.18477276,82.39440568,92.2110071,80.35110901,107.4775908,146.0636137,,,
FMC_1_N003,,,,,,,,34.90004415,36.54048218,38.18215323,43.34407895,41.70836927,,,,,,,,,,,,,34.98986145,62.15532315,34.34882673,37.28886054,40.82265515,52.65813189,75.87788917,62.11418683,71.59891539,70.16028702,61.64088477,67.65297152,55.97017303,51.05731161,50.64108039,68.18477276,82.39440568,92.2110071,80.35110901,107.4775908,146.0636137,,,
FOOTHILL_1_N001,,,,,,,,33.04974779,35.42876847,36.08636585,42.92727463,41.05468121,,,,,,,,,,,,,33.69330673,62.02601207,33.15478044,33.53632222,31.41157273,50.30899732,69.81795583,59.99106466,66.26573492,57.99876661,57.3564828,61.59784429,53.15391468,43.6405121,42.84075239,58.24747382,59.49658158,71.64912404,76.39258682,102.3748158,123.4738494,,,
FORKBUTT_7_B1,,,,,,,,31.98415554,33.99812174,36.20341309,40.97732583,39.08917968,,,,,,,,,,,,,33.53371122,59.60362129,32.60541876,36.29897374,35.86072536,50.52739435,65.95527035,58.9138857,65.86350403,69.10116062,58.10344748,59.88831438,50.44779135,44.83306882,44.12299073,64.17176688,68.56876576,68.82533841,71.49049657,94.85290285,122.9692738,,,
FORSTHL_6_N001,,,,,,,,31.32912451,34.37556508,35.02210454,40.87878494,38.26244239,,,,,,,,,,,,,36.66832065,94.25737106,34.95179405,29.93858814,33.86117261,53.78106568,71.18143849,61.53634855,66.78333442,72.1514469,48.10640974,58.98186075,48.37332257,53.18655417,48.1070581,64.76159161,48.1923675,72.58209756,72.60709813,96.51429593,138.4801657,,,
FORTORD_6_N001,,,,,,,,33.41706453,35.64273394,37.31419559,42.20274999,40.61487633,,,,,,,,,,,,,33.83955769,60.80039226,33.52436591,36.7669574,41.3609313,51.74387988,67.71628414,60.67628007,68.16499592,64.90806609,60.15477638,63.07266102,53.64577894,48.2951556,48.65827676,68.67732226,79.68547828,78.68891391,79.42871061,100.8833634,125.7432225,,,
