NODE_ID,month_year,MW
AGUAMNSA_7_B1,Dec-21,61.57734015
AGUAMNSA_7_B1,Jan-22,51.70806043
AGUAMNSA_7_B1,Feb-22,43.55403914
AGUAMNSA_7_B1,Mar-22,42.69731038
AGUAMNSA_7_B1,Apr-22,57.9134444
AGUAMNSA_7_B1,May-22,59.86539711
AGUAMNSA_7_B1,Jun-22,70.34433657
AGUAMNSA_7_B1,Jul-22,75.95999625
AGUAMNSA_7_B1,Aug-22,107.5021697
AGUAMNSA_7_B1,Sep-22,122.9246921
AIRPROD_1_N001,Jul-19,38.5634525
AIRPROD_1_N001,Aug-19,32.56154406
AIRPROD_1_N001,Sep-19,35.71652958
AIRPROD_1_N001,Oct-19,36.88252616
AIRPROD_1_N001,Nov-19,43.01415205
AIRPROD_1_N001,Dec-19,41.23272359
AIRPROD_1_N001,Jan-20,31.67910592
AIRPROD_1_N001,Feb-20,27.11788208
AIRPROD_1_N001,Mar-20,26.84136633
AIRPROD_1_N001,Apr-20,18.53482016
AIRPROD_1_N001,May-20,17.2503396
AIRPROD_1_N001,Jun-20,22.85322919
AIRPROD_1_N001,Jul-20,26.2139592
AIRPROD_1_N001,Aug-20,53.50360276
AIRPROD_1_N001,Sep-20,43.72930863
AIRPROD_1_N001,Oct-20,44.65582387
AIRPROD_1_N001,Nov-20,39.99699551
AIRPROD_1_N001,Dec-20,42.07373335
AIRPROD_1_N001,Jan-21,34.18479387
AIRPROD_1_N001,Feb-21,60.30805427
AIRPROD_1_N001,Mar-21,33.30715183
AIRPROD_1_N001,Apr-21,35.43495449
AIRPROD_1_N001,May-21,31.90936879
AIRPROD_1_N001,Jun-21,50.73072874
AIRPROD_1_N001,Jul-21,73.599045
AIRPROD_1_N001,Aug-21,66.6838813
AIRPROD_1_N001,Sep-21,67.64183674
AIRPROD_1_N001,Oct-21,60.76040513
AIRPROD_1_N001,Nov-21,59.67081373
AIRPROD_1_N001,Dec-21,63.55251329
ALAMITOS_2_N001,Aug-19,36.53972847
ALAMITOS_2_N001,Sep-19,41.69743504
ALAMITOS_2_N001,Oct-19,39.07679665
ALAMITOS_2_N001,Nov-19,44.81623791
ALAMITOS_2_N001,Dec-19,42.61891254
ALAMITOS_2_N001,Jan-20,36.60952868
