INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2022-09-01T17:00:00-00:00,2022-09-01T18:00:00-00:00,2022-09-01,11,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MGHG,LMP_GHG_PRC,2C559EQ2_7_N001,ALL,1,0.0,5
2022-09-01T18:00:00-00:00,2022-09-01T19:00:00-00:00,2022-09-01,12,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,LMP,LMP_PRC,2C559EQ2_7_N001,ALL,1,120.752,1
2022-09-01T18:00:00-00:00,2022-09-01T19:00:00-00:00,2022-09-01,12,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCC,LMP_CONG_PRC,2C559EQ2_7_N001,ALL,1,-9.32958,2
2022-09-01T18:00:00-00:00,2022-09-01T19:00:00-00:00,2022-09-01,12,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCE,LMP_ENE_PRC,2C559EQ2_7_N001,ALL,1,143.97519,3
2022-09-01T18:00:00-00:00,2022-09-01T19:00:00-00:00,2022-09-01,12,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCL,LMP_LOSS_PRC,2C559EQ2_7_N001,ALL,1,-13.89361,4
2022-09-01T18:00:00-00:00,2022-09-01T19:00:00-00:00,2022-09-01,12,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MGHG,LMP_GHG_PRC,2C559EQ2_7_N001,ALL,1,0.0,5
2022-09-01T19:00:00-00:00,2022-09-01T20:00:00-00:00,2022-09-01,13,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,LMP,LMP_PRC,2C559EQ2_7_N001,ALL,1,124.69471,1
2022-09-01T19:00:00-00:00,2022-09-01T20:00:00-00:00,2022-09-01,13,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCC,LMP_CONG_PRC,2C559EQ2_7_N001,ALL,1,-16.91858,2
2022-09-01T19:00:00-00:00,2022-09-01T20:00:00-00:00,2022-09-01,13,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCE,LMP_ENE_PRC,2C559EQ2_7_N001,ALL,1,155.84163,3
2022-09-01T19:00:00-00:00,2022-09-01T20:00:00-00:00,2022-09-01,13,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCL,LMP_LOSS_PRC,2C559EQ2_7_N001,ALL,1,-14.22834,4
2022-09-01T19:00:00-00:00,2022-09-01T20:00:00-00:00,2022-09-01,13,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MGHG,LMP_GHG_PRC,2C559EQ2_7_N001,ALL,1,0.0,5
2022-09-01T20:00:00-00:00,2022-09-01T21:00:00-00:00,2022-09-01,14,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,LMP,LMP_PRC,2C559EQ2_7_N001,ALL,1,137.54836,1
2022-09-01T20:00:00-00:00,2022-09-01T21:00:00-00:00,2022-09-01,14,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCC,LMP_CONG_PRC,2C559EQ2_7_N001,ALL,1,-27.38332,2
2022-09-01T20:00:00-00:00,2022-09-01T21:00:00-00:00,2022-09-01,14,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCE,LMP_ENE_PRC,2C559EQ2_7_N001,ALL,1,180.25319,3
2022-09-01T20:00:00-00:00,2022-09-01T21:00:00-00:00,2022-09-01,14,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCL,LMP_LOSS_PRC,2C559EQ2_7_N001,ALL,1,-15.32152,4
2022-09-01T20:00:00-00:00,2022-09-01T21:00:00-00:00,2022-09-01,14,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MGHG,LMP_GHG_PRC,2C559EQ2_7_N001,ALL,1,0.0,5
2022-09-01T21:00:00-00:00,2022-09-01T22:00:00-00:00,2022-09-01,15,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,LMP,LMP_PRC,2C559EQ2_7_N001,ALL,1,164.66187,1
2022-09-01T21:00:00-00:00,2022-09-01T22:00:00-00:00,2022-09-01,15,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCC,LMP_CONG_PRC,2C559EQ2_7_N001,ALL,1,-18.96608,2
2022-09-01T21:00:00-00:00,2022-09-01T22:00:00-00:00,2022-09-01,15,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCE,LMP_ENE_PRC,2C559EQ2_7_N001,ALL,1,201.43478,3
2022-09-01T21:00:00-00:00,2022-09-01T22:00:00-00:00,2022-09-01,15,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCL,LMP_LOSS_PRC,2C559EQ2_7_N001,ALL,1,-17.80684,4
2022-09-01T21:00:00-00:00,2022-09-01T22:00:00-00:00,2022-09-01,15,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MGHG,LMP_GHG_PRC,2C559EQ2_7_N001,ALL,1,0.0,5
2022-09-01T22:00:00-00:00,2022-09-01T23:00:00-00:00,2022-09-01,16,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,LMP,LMP_PRC,2C559EQ2_7_N001,ALL,1,213.506,1
2022-09-01T22:00:00-00:00,2022-09-01T23:00:00-00:00,2022-09-01,16,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCC,LMP_CONG_PRC,2C559EQ2_7_N001,ALL,1,-15.65239,2
2022-09-01T22:00:00-00:00,2022-09-01T23:00:00-00:00,2022-09-01,16,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCE,LMP_ENE_PRC,2C559EQ2_7_N001,ALL,1,252.21043,3
2022-09-01T22:00:00-00:00,2022-09-01T23:00:00-00:00,2022-09-01,16,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCL,LMP_LOSS_PRC,2C559EQ2_7_N001,ALL,1,-23.05203,4
2022-09-01T22:00:00-00:00,2022-09-01T23:00:00-00:00,2022-09-01,16,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MGHG,LMP_GHG_PRC,2C559EQ2_7_N001,ALL,1,0.0,5
2022-09-01T23:00:00-00:00,2022-09-02T00:00:00-00:00,2022-09-01,17,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,LMP,LMP_PRC,2C559EQ2_7_N001,ALL,1,262.5548,1
2022-09-01T23:00:00-00:00,2022-09-02T00:00:00-00:00,2022-09-01,17,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCC,LMP_CONG_PRC,2C559EQ2_7_N001,ALL,1,0.0,2
2022-09-01T23:00:00-00:00,2022-09-02T00:00:00-00:00,2022-09-01,17,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCE,LMP_ENE_PRC,2C559EQ2_7_N001,ALL,1,288.6804,3
2022-09-01T23:00:00-00:00,2022-09-02T00:00:00-00:00,2022-09-01,17,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCL,LMP_LOSS_PRC,2C559EQ2_7_N001,ALL,1,-26.12558,4
2022-09-01T23:00:00-00:00,2022-09-02T00:00:00-00:00,2022-09-01,17,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MGHG,LMP_GHG_PRC,2C559EQ2_7_N001,ALL,1,0.0,5
2022-09-02T00:00:00-00:00,2022-09-02T01:00:00-00:00,2022-09-01,18,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,LMP,LMP_PRC,2C559EQ2_7_N001,ALL,1,356.11148,1
2022-09-02T00:00:00-00:00,2022-09-02T01:00:00-00:00,2022-09-01,18,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCC,LMP_CONG_PRC,2C559EQ2_7_N001,ALL,1,0.0,2
2022-09-02T00:00:00-00:00,2022-09-02T01:00:00-00:00,2022-09-01,18,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCE,LMP_ENE_PRC,2C559EQ2_7_N001,ALL,1,390.2164,3
2022-09-02T00:00:00-00:00,2022-09-02T01:00:00-00:00,2022-09-01,18,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCL,LMP_LOSS_PRC,2C559EQ2_7_N001,ALL,1,-34.10491,4
2022-09-02T00:00:00-00:00,2022-09-02T01:00:00-00:00,2022-09-01,18,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MGHG,LMP_GHG_PRC,2C559EQ2_7_N001,ALL,1,0.0,5
2022-09-02T01:00:00-00:00,2022-09-02T02:00:00-00:00,2022-09-01,19,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,LMP,LMP_PRC,2C559EQ2_7_N001,ALL,1,789.32886,1
2022-09-02T01:00:00-00:00,2022-09-02T02:00:00-00:00,2022-09-01,19,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCC,LMP_CONG_PRC,2C559EQ2_7_N001,ALL,1,0.0,2
2022-09-02T01:00:00-00:00,2022-09-02T02:00:00-00:00,2022-09-01,19,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCE,LMP_ENE_PRC,2C559EQ2_7_N001,ALL,1,833.50464,3
2022-09-02T01:00:00-00:00,2022-09-02T02:00:00-00:00,2022-09-01,19,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCL,LMP_LOSS_PRC,2C559EQ2_7_N001,ALL,1,-44.17575,4
2022-09-02T01:00:00-00:00,2022-09-02T02:00:00-00:00,2022-09-01,19,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MGHG,LMP_GHG_PRC,2C559EQ2_7_N001,ALL,1,0.0,5
2022-09-02T02:00:00-00:00,2022-09-02T03:00:00-00:00,2022-09-01,20,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,LMP,LMP_PRC,2C559EQ2_7_N001,ALL,1,808.6878,1
2022-09-02T02:00:00-00:00,2022-09-02T03:00:00-00:00,2022-09-01,20,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCC,LMP_CONG_PRC,2C559EQ2_7_N001,ALL,1,0.0,2
2022-09-02T02:00:00-00:00,2022-09-02T03:00:00-00:00,2022-09-01,20,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCE,LMP_ENE_PRC,2C559EQ2_7_N001,ALL,1,835.9394,3
2022-09-02T02:00:00-00:00,2022-09-02T03:00:00-00:00,2022-09-01,20,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MCL,LMP_LOSS_PRC,2C559EQ2_7_N001,ALL,1,-27.25163,4
2022-09-02T02:00:00-00:00,2022-09-02T03:00:00-00:00,2022-09-01,20,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,MGHG,LMP_GHG_PRC,2C559EQ2_7_N001,ALL,1,0.0,5
2022-09-02T03:00:00-00:00,2022-09-02T04:00:00-00:00,2022-09-01,21,0,2C559EQ2_7_N001,2C559EQ2_7_N001,2C559EQ2_7_N001,DAM,LMP,LMP_PRC,2C559EQ2_7_N001,ALL,1,423.06674,1
