OID_,AREA,NODE_ID,TYPE
192,CA,BORREGO_6_N009,GEN
193,CA,BOSWELL_6_N001,LOAD
194,CA,BOWLES_6_N001,LOAD
195,CA,BRDGVLT_7_N001,LOAD
196,CA,BRDGVLT_7_N002,GEN
197,CA,BRDWAYB3_7_B1,GEN
198,CA,BRENTWOD_2_N001,LOAD
199,CA,BRENTWOD_2_N006,LOAD
200,CA,BRENTWOD_2_N011,LOAD
201,CA,BRITTN_1_N001,LOAD
202,CA,BRITTN_1_N005,LOAD
203,CA,BRITTN_1_N006,LOAD
204,CA,BRKRSLG_1_N005,LOAD
205,CA,BRNYFRST_7_B1,GEN
206,NV,BROCKWAY_LNODE01,LOAD
207,NV,BROCKWAY_LNODE02,LOAD
208,NV,BROCKWAY_LNODE51,LOAD
209,NV,BROCKWAY_LNODE52,LOAD
210,CA,BRRNDAA_6_N001,LOAD
211,CA,BRRNDAC_6_N001,LOAD
212,CA,BRUNSWCK_1_N003,LOAD
213,CA,BRUNSWCK_1_N008,LOAD
214,CA,BRUNSWCK_1_N101,LOAD
215,CA,BRWNSVY_6_N001,LOAD
216,CA,BSPHYD26_7_N001,GEN
217,CA,BSPHYD34_1_N001,GEN
218,CA,BUCKWND_1_N001,GEN
219,CA,BUCKWND_1_N101,GEN
220,CA,BUCKWND_1_N201,GEN
221,CA,BUELLTON_1_N001,LOAD
222,CA,BUELLTON_1_N003,LOAD
223,CA,BUENAVS1_7_B1,LOAD
224,CA,BUENAVS1_7_B3,LOAD
225,CA,BUENAVS1_7_B4,LOAD
226,CA,BUENAVS1_7_B5,LOAD
227,CA,BUENAVS1_7_B6,LOAD
228,CA,BUENAVS1_7_B7,LOAD
229,CA,BUENAVS2_7_B1,LOAD
230,CA,BUENAVS2_7_B3,LOAD
231,CA,BUENAVS2_7_B4,LOAD
232,CA,BUENAVS2_7_B5,LOAD
233,CA,BUENAVT_2_N006,GEN
234,CA,BULLARD_1_N001,LOAD
235,CA,BULLARD_1_N004,LOAD
236,CA,BULLARD_1_N005,LOAD
237,CA,BULLARD_1_N006,LOAD
238,CA,BULLARD_1_N009,GEN
239,CA,BURLNGME_1_N001,LOAD
240,CA,BUTTE_1_N010,LOAD
241,CA,BUTTE_1_N101,LOAD
242,CA,BUTTVLLY_7_B1,GEN
243,CA,B_6_N001,LOAD
244,CA,B_6_N003,LOAD
245,CA,B_6_N005,LOAD
246,CA,B_6_N007,LOAD
247,CA,C493GEN_7_N003,GEN
248,CA,CABAZON_7_B1,GEN
249,CA,CABRILLO_1_N001,LOAD
250,CA,CABRILLO_6_N001,LOAD
251,CA,CABRILLO_6_N004,LOAD
252,CA,CABRILLO_6_N011,GEN
253,CA,CALAVE_1_N001,LOAD
254,CA,CALAVE_1_N002,LOAD
255,CA,CALAVE_1_N004,LOAD
256,CA,CALCMENT_6_N101,LOAD
257,CA,CALCMENT_6_N151,LOAD
258,CA,CALISTGA_6_N001,LOAD
259,CA,CALLENDR_1_N001,LOAD
260,CA,CALPELLA_1_N001,LOAD
261,NV,CALSUB_LNODEET,LOAD
262,CA,CAMBRIA_6_N001,LOAD
263,CA,CAMDEN_6_N001,LOAD
264,CA,CAMDEN_6_N002,LOAD
265,CA,CAMERON_6_N001,LOAD
266,CA,CAMINO_2_N001,LOAD
267,CA,CAMPHORA_6_N001,LOAD
268,CA,CAMPHORA_6_N003,LOAD
269,CA,CANAL_6_N001,LOAD
270,CA,CANAL_6_N006,LOAD
271,CA,CANTGEN_7_N002,GEN
272,CA,CAPAY_6_N001,LOAD
273,CA,CAPSTRNO_1_N001,LOAD
274,CA,CAPSTRNO_1_N006,LOAD
275,CA,CAPSTRNO_1_N016,GEN
276,CA,CAPWIND_1_B1,GEN
277,CA,CARBOGEN_7_B1,GEN
278,CA,CARBONA_6_N003,LOAD
